code,name,level,status,release_date,superseded_by,entry_requirements,cricos_code,core_units,elective_units,total_units
AHC30921,Certificate III in Landscape Construction,,current,2024-05-01,,Nil,,10,7,17
AUR30620,Certificate III in Light Vehicle Mechanical Technology,,current,2026-03-17,,Nil.,,20,16,36
AUR31120,Certificate III in Heavy Commercial Vehicle Mechanical Technology,,current,2026-03-17,,Nil.,,22,14,36
BSB30120,Certificate III in Business,,current,2022-01-25,,"Nil

",,6,7,13
BSB40120,Certificate IV in Business,,current,2020-10-19,,Nil,,6,6,12
BSB40820,Certificate IV in Marketing and Communication,,current,2020-10-19,,nil,,6,6,12
BSB40920,Certificate IV in Project Management Practice,,current,2020-10-19,,Nil,,3,6,9
BSB41419,Certificate IV in Work Health and Safety,,current,2020-10-19,,Nil,,10,5,15
BSB50120,Diploma of Business,,current,2020-10-19,,Nil,,5,7,12
BSB50420,Diploma of Leadership and Management,,current,2022-01-25,,Nil,,6,6,12
BSB50620,Diploma of Marketing and Communication,,current,2022-01-25,,"Entry to this qualification is limited to those who:

Have completed BSB42415 Certificate IV in Marketing and Communication

or

Have completed the following units (or equivalent competencies): BSBCMM411 Make presentations; BSBCRT412 Articulate, present and debate ideas; BSBMKG433 Undertake marketing activities; BSBMKG435 Analyse consumer behaviour; BSBMKG439 Develop and apply knowledge of communications industry; and BSBWRT411 Write complex documents. Equivalent competencies are predecessors to these units, which have been mapped as equivalent.

or

Have two years equivalent full-time relevant work experience.",,5,7,12
BSB50820,Diploma of Project Management,,current,2020-10-19,,Nil,,8,4,12
BSB60120,Advanced Diploma of Business,,current,2020-10-19,,"Entry to this qualification is limited to those who:

Have completed a Diploma or Advanced Diploma from the BSB Training Package (current or superseded equivalent versions).

or

Have two years equivalent full-time relevant workplace experience in an operational or leadership role in an enterprise.",,10,5,15
BSB60420,Advanced Diploma of Leadership and Management,,current,2020-10-19,,"Entry to this qualification is limited to those who:

Have completed a Diploma or Advanced Diploma from the BSB Training Package (current or superseded equivalent versions).

or

Have two years equivalent full-time relevant workplace experience in an operational or leadership role in an enterprise.",,5,5,10
BSB60520,Advanced Diploma of Marketing and Communication,,current,2022-01-25,,"Entry to this qualification is limited to those who:

Have completed BSB52415 Diploma of Marketing and Communication

or

Have completed the following units (or equivalent competencies): BSBMKG541 Identify and evaluate marketing opportunities; BSBMKG542 Establish and monitor the marketing mix; BSBMKG552 Design and develop marketing communication plans; BSBMKG555 Write persuasive copy; and BSBPMG430 Undertake project work. Equivalent competencies are predecessors to these units, which have been mapped as equivalent.

or

Have four years equivalent full-time relevant work experience.",,4,8,12
BSB60720,Advanced Diploma of Program Management,,current,2020-10-19,,"Entry to this qualification is limited to those who:

Have completed one of the following qualifications: BSB50820 Diploma of Project Management; or BSB51415 Diploma of Project Management (or a superseded equivalent version).

or

Have completed two years equivalent full-time relevant workplace experience at a significant level within a project or program environment within an enterprise.",,4,8,12
BSB80120,Graduate Diploma of Management (Learning),,current,2020-10-19,,nil,,3,5,8
